source_kind,graph_id,family,pair,contract_type,scenario,num_levels,sum_options,max_options_per_level,pattern,has_multi_level,has_multi_option,disable_steps_worst,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,ok,source_path
random_analysis,random_v1_112,random_v1,D->E|evm|fund:de,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1469688,75948,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,E->F|evm|fund:ef,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1400964,71641,128873,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,F->A|evm|fund:fa,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,F->G|evm|fund:fg,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1239450,71641,71641,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,G->A|evm|fund:ga,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100975,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,G->F|evm|fund:gf,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1239462,71641,71641,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_113,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,2,4,2,multi-level+multi-option,True,True,1,1653479,80267,137535,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,B->E|evm|fund:be,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239070,68747,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,B->F|evm|fund:bf,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123887,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,C->B|evm|fund:cb,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1446776,75948,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,C->D|evm|fund:cd,CTLCMultipleEdges,pair_summary,2,4,2,multi-level+multi-option,True,True,1,1561819,75948,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,D->E|evm|fund:de,CTLCOnly,pair_summary,2,2,1,multi-level,True,False,1,1239070,68747,125833,112508,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,E->A|evm|fund:ea,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,E->F|evm|fund:ef,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123887,68735,68735,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_113,random_v1,F->A|evm|fund:fa,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_113/analysis.csv
random_analysis,random_v1_114,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,2,4,2,multi-level+multi-option,True,True,1,1653515,75948,141843,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_114/analysis.csv
random_analysis,random_v1_114,random_v1,B->E|evm|fund:be,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1331074,80267,80267,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_114/analysis.csv
